job_title,salary_range,company_profile,requirements,fraudulent
Cloud Engineer,"$40,000 - $60,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Crypto Analyst,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
HR Assistant (Remote),Negotiable,Fast-growing company offering remote opportunities worldwide.,Work at your own time and earn unlimited income.,0
Customer Reward Agent,Earn $300 daily from home,"Earn money easily by working from home, no registration fees.","No qualification needed, we train you for free!",0
HR Assistant (Remote),Negotiable,"Earn money easily by working from home, no registration fees.",Work at your own time and earn unlimited income.,0
Investment Opportunity Manager,$5000 bonus after first month,Fast-growing company offering remote opportunities worldwide.,Work at your own time and earn unlimited income.,0
Work From Home Associate,$800 - $1200 weekly,Reputed organization hiring urgently for remote positions.,Work at your own time and earn unlimited income.,0
Virtual Assistant - No Experience,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,"Quick money-making job from home, join today.",0
Data Entry Clerk,$800 - $1200 weekly,Startup with guaranteed income and flexible hours.,"No qualification needed, we train you for free!",0
Data Analyst,"$70,000 - $90,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Virtual Assistant - No Experience,Negotiable,Reputed organization hiring urgently for remote positions.,No experience required. Must have smartphone or laptop.,0
Web Developer,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,Excellent communication and project management skills.,1
Investment Opportunity Manager,Earn $300 daily from home,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Virtual Assistant - No Experience,Negotiable,"Earn money easily by working from home, no registration fees.","No qualification needed, we train you for free!",0
Network Administrator,"$50,000 - $70,000",Well-established healthcare data analytics organization.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Software Engineer,"$50,000 - $70,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Part-Time Freelancer,$800 - $1200 weekly,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Virtual Assistant - No Experience,$2000 per month,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Project Manager,"$60,000 - $80,000",Well-established healthcare data analytics organization.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Online Survey Filler,Negotiable,Reputed organization hiring urgently for remote positions.,Work at your own time and earn unlimited income.,0
Mobile App Developer,"$40,000 - $60,000",Mid-sized e-commerce company serving international clients.,Excellent communication and project management skills.,1
Online Survey Filler,Negotiable,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Cloud Engineer,"$40,000 - $60,000",Leading IT solutions company with 10+ years of experience.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
UX Designer,"$120,000 - $150,000",A global software firm focusing on enterprise automation.,Excellent communication and project management skills.,1
Part-Time Freelancer,$100 per task,Fast-growing company offering remote opportunities worldwide.,No experience required. Must have smartphone or laptop.,0
Work From Home Associate,$800 - $1200 weekly,Fast-growing company offering remote opportunities worldwide.,"Quick money-making job from home, join today.",0
Email Processor,$5000 bonus after first month,Reputed organization hiring urgently for remote positions.,"Good communication skills, internet connection required.",0
Crypto Analyst,$2000 per month,Simple online task-based business for extra income.,"Quick money-making job from home, join today.",0
Data Analyst,"$40,000 - $60,000",A global software firm focusing on enterprise automation.,"Proficiency in Python, SQL, and data visualization tools. 2+ years of experience required.",1
Project Manager,"$120,000 - $150,000",A global software firm focusing on enterprise automation.,"Knowledge of AWS, Docker, and CI/CD tools. Team collaboration experience preferred.",1
Data Entry Clerk,$800 - $1200 weekly,"Earn money easily by working from home, no registration fees.",No experience required. Must have smartphone or laptop.,0
Project Manager,"$120,000 - $150,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Project Manager,"$60,000 - $80,000",A global software firm focusing on enterprise automation.,Excellent communication and project management skills.,1
Investment Opportunity Manager,Earn $300 daily from home,Reputed organization hiring urgently for remote positions.,No experience required. Must have smartphone or laptop.,0
System Architect,"$120,000 - $150,000",Mid-sized e-commerce company serving international clients.,"Experience with Java, Spring Boot, and REST APIs.",1
Virtual Assistant - No Experience,$5000 bonus after first month,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Online Survey Filler,$5000 bonus after first month,Simple online task-based business for extra income.,"Good communication skills, internet connection required.",0
Data Entry Clerk,$5000 bonus after first month,"Earn money easily by working from home, no registration fees.","Good communication skills, internet connection required.",0
Mobile App Developer,"$90,000 - $110,000",Recognized financial services provider headquartered in New York.,"Experience with Java, Spring Boot, and REST APIs.",1
Customer Reward Agent,Earn $300 daily from home,Fast-growing company offering remote opportunities worldwide.,Work at your own time and earn unlimited income.,0
Data Analyst,"$70,000 - $90,000",Recognized financial services provider headquartered in New York.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
Online Survey Filler,$2000 per month,Startup with guaranteed income and flexible hours.,"Good communication skills, internet connection required.",0
Project Manager,"$40,000 - $60,000",Well-established healthcare data analytics organization.,"Experience with Java, Spring Boot, and REST APIs.",1
Mobile App Developer,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,Excellent communication and project management skills.,1
Cloud Engineer,"$50,000 - $70,000",Leading IT solutions company with 10+ years of experience.,Bachelor's degree in Computer Science or related field. Strong analytical and problem-solving skills.,1
